cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2022/t2,7459918,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2022/t3,5821301,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2022/t4,5388751,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2023/t1,5404063,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2023/t2,5178139,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2023/t3,5183059,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2023/t4,5139337,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2024/t1,5000328,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2024/t2,4929290,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2024/t3,5277222,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2024/t4,5482356,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2025/t1,5259451,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2025/t2,5118795,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2025/t3,5274298,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032078,Población no económicamente activa disponible - 15 años y más,2025/t4,5314316,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2005/t1,25353379,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2005/t2,25231842,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2005/t3,24765570,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2005/t4,24909299,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2006/t1,24894630,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2006/t2,24859215,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2006/t3,24166032,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2006/t4,24419470,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2007/t1,24961288,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2007/t2,25085566,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2007/t3,25357602,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2007/t4,24555889,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2008/t1,25519959,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2008/t2,25599903,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2008/t3,25611634,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2008/t4,26066185,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2009/t1,26268514,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2009/t2,26098978,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2009/t3,25718589,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2009/t4,25484645,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2010/t1,26751579,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2010/t2,26192017,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032079,Población no económicamente activa no disponible - 15 años y más,2010/t3,26558261,Número de personas
